,,t_min,t_max,dlen,day,station,category,name,state
0,0,0.0,0.0,0.0,0.0,PUSH,0,Fiskeby 1040-4-2,0.0
0,1,0.0,0.0,0.07749999999999999,0.014925373134328358,PUSH,0,Fiskeby 1040-4-2,0.014925373134328358
0,2,0.0,0.0,0.08875,0.029850746268656716,PUSH,0,Fiskeby 1040-4-2,0.029850746268656716
0,3,0.0,0.0,0.08875,0.04477611940298507,PUSH,0,Fiskeby 1040-4-2,0.04477611940298507
0,4,0.0,0.032500000000000015,0.17125,0.05970149253731343,PUSH,0,Fiskeby 1040-4-2,0.05970149253731343
0,5,0.011250000000000005,0.09125000000000001,0.26875,0.07462686567164178,PUSH,0,Fiskeby 1040-4-2,0.07462686567164178
0,6,0.011250000000000005,0.13625000000000004,0.39875,0.08955223880597014,PUSH,0,Fiskeby 1040-4-2,0.08955223880597014
0,7,0.04375,0.13625000000000004,0.39875,0.1044776119402985,PUSH,0,Fiskeby 1040-4-2,0.1044776119402985
0,8,0.04375,0.13625000000000004,0.49499999999999994,0.11940298507462686,PUSH,0,Fiskeby 1040-4-2,0.11940298507462686
0,9,0.06625,0.13625000000000004,0.5424999999999999,0.13432835820895522,PUSH,0,Fiskeby 1040-4-2,0.13432835820895522
0,10,0.09125000000000001,0.13625000000000004,0.6199999999999999,0.14925373134328357,PUSH,0,Fiskeby 1040-4-2,0.14925373134328357
0,11,0.13875,0.13625000000000004,0.6199999999999999,0.16417910447761194,PUSH,0,Fiskeby 1040-4-2,0.16417910447761194
0,12,0.21000000000000002,0.14875000000000002,0.6537499999999999,0.1791044776119403,PUSH,0,Fiskeby 1040-4-2,0.1791044776119403
0,13,0.28625,0.14875000000000002,0.6537499999999999,0.19402985074626866,PUSH,0,Fiskeby 1040-4-2,0.19402985074626866
0,14,0.3725,0.18125000000000005,0.6537499999999999,0.208955223880597,PUSH,0,Fiskeby 1040-4-2,0.208955223880597
0,15,0.43499999999999994,0.20000000000000004,0.6537499999999999,0.22388059701492538,PUSH,0,Fiskeby 1040-4-2,0.22388059701492538
0,16,0.4574999999999999,0.20000000000000004,0.7737499999999999,0.23880597014925373,PUSH,0,Fiskeby 1040-4-2,0.23880597014925373
0,17,0.4574999999999999,0.20000000000000004,0.7737499999999999,0.2537313432835821,PUSH,0,Fiskeby 1040-4-2,0.2537313432835821
0,18,0.4574999999999999,0.20000000000000004,0.91875,0.26865671641791045,PUSH,0,Fiskeby 1040-4-2,0.26865671641791045
0,19,0.4574999999999999,0.20000000000000004,1.0150000000000001,0.2835820895522388,PUSH,0,Fiskeby 1040-4-2,0.2835820895522388
0,20,0.4574999999999999,0.20000000000000004,1.1662500000000002,0.29850746268656714,PUSH,0,Fiskeby 1040-4-2,0.29850746268656714
0,21,0.4574999999999999,0.20000000000000004,1.2375000000000003,0.31343283582089554,PUSH,0,Fiskeby 1040-4-2,0.31343283582089554
0,22,0.4574999999999999,0.20000000000000004,1.2375000000000003,0.3283582089552239,PUSH,0,Fiskeby 1040-4-2,0.3283582089552239
0,23,0.4574999999999999,0.20000000000000004,1.2912500000000002,0.34328358208955223,PUSH,0,Fiskeby 1040-4-2,0.34328358208955223
0,24,0.4574999999999999,0.20000000000000004,1.3275000000000001,0.3582089552238806,PUSH,0,Fiskeby 1040-4-2,0.3582089552238806
0,25,0.4574999999999999,0.20000000000000004,1.3275000000000001,0.373134328358209,PUSH,0,Fiskeby 1040-4-2,0.373134328358209
0,26,0.4574999999999999,0.20000000000000004,1.3275000000000001,0.3880597014925373,PUSH,0,Fiskeby 1040-4-2,0.3880597014925373
0,27,0.4687499999999999,0.20000000000000004,1.3275000000000001,0.40298507462686567,PUSH,0,Fiskeby 1040-4-2,0.40298507462686567
0,28,0.4899999999999999,0.24750000000000005,1.4775000000000003,0.417910447761194,PUSH,0,Fiskeby 1040-4-2,0.417910447761194
0,29,0.4899999999999999,0.26875000000000004,1.5800000000000003,0.43283582089552236,PUSH,0,Fiskeby 1040-4-2,0.43283582089552236
0,30,0.4924999999999999,0.26875000000000004,1.6987500000000004,0.44776119402985076,PUSH,0,Fiskeby 1040-4-2,0.44776119402985076
0,31,0.5112499999999999,0.26875000000000004,1.7812500000000004,0.4626865671641791,PUSH,0,Fiskeby 1040-4-2,0.4626865671641791
0,32,0.5112499999999999,0.26875000000000004,1.9612500000000004,0.47761194029850745,PUSH,0,Fiskeby 1040-4-2,0.47761194029850745
0,33,0.5112499999999999,0.28625,2.0125,0.4925373134328358,PUSH,0,Fiskeby 1040-4-2,0.4925373134328358
0,34,0.5112499999999999,0.28625,2.0125,0.5074626865671642,PUSH,0,Fiskeby 1040-4-2,0.5074626865671642
0,35,0.5149999999999999,0.28625,2.1000000000000005,0.5223880597014925,PUSH,0,Fiskeby 1040-4-2,0.5223880597014925
0,36,0.5149999999999999,0.28625,2.1625000000000005,0.5373134328358209,PUSH,0,Fiskeby 1040-4-2,0.5373134328358209
0,37,0.5149999999999999,0.28625,2.27125,0.5522388059701493,PUSH,0,Fiskeby 1040-4-2,0.5522388059701493
0,38,0.5149999999999999,0.28625,2.3850000000000002,0.5671641791044776,PUSH,0,Fiskeby 1040-4-2,0.5671641791044776
0,39,0.5149999999999999,0.28625,2.3850000000000002,0.582089552238806,PUSH,0,Fiskeby 1040-4-2,0.582089552238806
0,40,0.5149999999999999,0.28625,2.3850000000000002,0.5970149253731343,PUSH,0,Fiskeby 1040-4-2,0.5970149253731343
0,41,0.5149999999999999,0.28625,2.435,0.6119402985074627,PUSH,0,Fiskeby 1040-4-2,0.6119402985074627
