Date;All sky;Clear sky
2004\7\31;8.90;6.02
2004\8\1;8.75;5.49
2004\8\2;9.09;6.83
2004\8\3;8.33;7.00
2004\8\4;8.15;6.78
2004\8\5;8.20;6.90
2004\8\6;8.56;6.98
2004\8\7;8.78;5.82
2004\8\8;8.76;6.46
2004\8\9;8.77;6.38
2004\8\10;8.07;5.64
2004\8\11;8.18;4.91
2004\8\12;8.19;6.02
2004\8\13;7.99;6.53
2004\8\14;8.25;6.23
2004\8\15;8.11;6.30
2004\8\16;7.63;6.14
2004\8\17;8.55;5.90
2004\8\18;8.41;4.58
2004\8\19;8.66;5.90
2004\8\20;9.00;5.91
2004\8\21;9.15;5.61
2004\8\22;8.29;5.79
2004\8\23;7.68;5.88
2004\8\24;7.50;5.34
2004\8\25;7.89;5.56
2004\8\26;8.50;5.34
2004\8\27;8.42;5.22
2004\8\28;8.56;5.21
2004\8\29;7.92;5.30
2004\8\30;7.97;5.25
2004\8\31;8.12;5.19
2004\9\1;8.31;4.85
2004\9\2;8.69;4.76
2004\9\3;8.73;4.86
2004\9\4;7.45;5.11
2004\9\5;7.40;4.98
2004\9\6;8.47;4.67
2004\9\7;7.54;4.65
2004\9\8;7.57;4.71
2004\9\9;7.43;4.65
2004\9\10;7.82;4.50
2004\9\11;7.69;4.49
2004\9\12;8.38;4.25
2004\9\13;8.45;4.26
2004\9\14;7.64;4.11
2004\9\15;8.35;4.08
2004\9\16;7.65;3.89
2004\9\17;7.67;4.17
2004\9\18;8.01;3.86
2004\9\19;8.11;3.57
2004\9\20;7.41;3.66
2004\9\21;7.90;3.60
2004\9\22;8.00;3.63
2004\9\23;8.16;3.54
2004\9\24;8.05;2.88
2004\9\25;7.61;3.41
2004\9\26;7.86;3.03
2004\9\27;7.52;3.09
2004\9\28;7.79;2.69
2004\9\29;7.76;3.12
2004\9\30;7.54;3.09
2004\10\1;6.29;3.12
2004\10\2;7.68;3.03
2004\10\3;7.60;2.91
2004\10\4;7.57;2.86
2004\10\5;7.51;2.77
2004\10\6;8.08;2.67
2004\10\7;7.58;2.62
2004\10\8;7.57;2.55
2004\10\9;7.66;2.50
2004\10\10;6.72;2.42
2004\10\11;6.75;2.49
2004\10\12;6.48;2.25
2004\10\13;6.47;1.78
2004\10\14;5.61;2.30
2004\10\15;5.63;2.33
2004\10\16;6.12;2.14
2004\10\17;7.32;1.30
2004\10\18;7.67;1.94
2004\10\19;7.27;1.89
2004\10\20;6.83;1.85
2004\10\21;7.36;1.84
2004\10\22;7.37;1.74
2004\10\23;6.93;1.66
2004\10\24;7.28;1.72
2004\10\25;6.43;1.37
2004\10\26;7.14;1.48
2004\10\27;7.88;1.51
2004\10\28;6.24;1.51
2004\10\29;6.58;1.50
2004\10\30;6.45;1.34
2004\10\31;6.87;1.30
2004\11\1;5.71;1.43
2004\11\2;5.67;1.40
2004\11\3;5.93;0.88
2004\11\4;7.16;1.21
2004\11\5;7.42;1.15
2004\11\6;6.69;0.59
2004\11\7;6.71;0.74
