Date;All sky;Clear sky
2006\7\17;8.00;7.45
2006\7\18;8.62;7.48
2006\7\19;7.87;7.93
2006\7\20;8.08;7.48
2006\7\21;7.61;7.52
2006\7\22;8.13;7.29
2006\7\23;7.58;7.71
2006\7\24;7.68;7.62
2006\7\25;8.41;7.21
2006\7\26;7.92;5.45
2006\7\27;8.08;7.13
2006\7\28;7.76;6.62
2006\7\29;8.37;7.01
2006\7\30;8.46;6.94
2006\7\31;7.92;7.04
2006\8\1;8.05;7.37
2006\8\2;8.88;6.75
2006\8\3;8.70;6.78
2006\8\4;9.07;6.72
2006\8\5;8.39;6.65
2006\8\6;7.52;6.80
2006\8\7;7.56;6.79
2006\8\8;7.61;6.91
2006\8\9;7.53;6.94
2006\8\10;7.44;6.88
2006\8\11;8.01;6.75
2006\8\12;8.52;6.12
2006\8\13;8.28;5.09
2006\8\14;8.80;6.15
2006\8\15;8.76;5.73
2006\8\16;8.31;6.04
2006\8\17;8.96;6.21
2006\8\18;8.45;5.85
2006\8\19;8.13;6.08
2006\8\20;8.38;6.00
2006\8\21;8.46;5.44
2006\8\22;8.73;5.77
2006\8\23;8.64;5.30
2006\8\24;8.77;5.44
2006\8\25;8.51;5.41
2006\8\26;8.57;4.68
2006\8\27;8.29;5.47
2006\8\28;8.36;5.16
2006\8\29;8.01;4.71
2006\8\30;8.67;5.05
2006\8\31;9.07;4.99
2006\9\1;8.83;5.04
2006\9\2;7.99;4.18
2006\9\3;8.23;4.64
2006\9\4;7.96;4.11
2006\9\5;8.53;4.76
2006\9\6;8.59;4.69
2006\9\7;8.35;3.92
2006\9\8;8.05;4.61
2006\9\9;8.24;4.54
2006\9\10;7.69;4.58
2006\9\11;7.26;4.33
2006\9\12;8.15;4.30
2006\9\13;7.58;3.79
2006\9\14;7.99;4.17
2006\9\15;7.89;4.02
2006\9\16;6.86;4.24
2006\9\17;6.79;4.05
2006\9\18;7.09;4.14
2006\9\19;7.76;3.59
2006\9\20;8.49;3.69
2006\9\21;8.17;3.61
2006\9\22;8.35;3.59
2006\9\23;7.59;3.38
2006\9\24;7.47;3.37
2006\9\25;8.38;3.41
2006\9\26;7.63;3.42
2006\9\27;7.82;3.05
2006\9\28;7.64;3.01
2006\9\29;8.28;3.12
2006\9\30;8.45;3.08
2006\10\1;7.65;3.06
2006\10\2;7.85;2.94
2006\10\3;7.92;2.86
2006\10\4;8.02;2.79
2006\10\5;7.94;2.73
2006\10\6;7.65;2.17
2006\10\7;7.88;2.57
2006\10\8;7.97;2.55
2006\10\9;8.12;2.34
2006\10\10;8.15;2.46
2006\10\11;7.74;2.18
2006\10\12;6.59;2.23
2006\10\13;8.04;1.79
2006\10\14;7.32;2.19
2006\10\15;7.42;1.53
2006\10\16;6.99;2.15
2006\10\17;7.70;2.07
2006\10\18;7.09;2.04
2006\10\19;6.82;2.02
2006\10\20;6.96;1.98
2006\10\21;6.86;1.87
2006\10\22;7.72;1.78
2006\10\23;7.93;1.79
2006\10\24;8.15;1.65
2006\10\25;7.70;1.63
2006\10\26;6.25;1.71
2006\10\27;7.59;1.55
2006\10\28;6.79;1.56
2006\10\29;6.42;1.56
2006\10\30;6.24;1.58
2006\10\31;6.84;1.41
2006\11\1;6.69;1.33
2006\11\2;6.42;1.32
2006\11\3;6.28;1.31
2006\11\4;5.75;1.33
2006\11\5;6.27;1.27
2006\11\6;5.97;1.25
2006\11\7;6.40;1.16
2006\11\8;5.71;1.16
2006\11\9;6.04;1.12
2006\11\10;6.03;0.98
2006\11\11;5.70;0.98
2006\11\12;5.79;0.94
2006\11\13;6.62;0.88
2006\11\14;6.02;0.86
2006\11\15;6.15;0.83
2006\11\16;6.14;0.72
2006\11\17;6.00;0.77
2006\11\18;6.86;0.69
2006\11\19;6.68;0.64
2006\11\20;6.76;0.64
2006\11\21;6.28;0.62
2006\11\22;6.79;0.58
2006\11\23;6.56;0.57
2006\11\24;6.64;0.55
2006\11\25;6.46;0.54
2006\11\26;7.43;0.49
2006\11\27;6.23;0.50
2006\11\28;7.15;0.49
2006\11\29;6.99;0.46
2006\11\30;6.98;0.45
2006\12\1;6.82;0.44
2006\12\2;6.68;0.44
2006\12\3;6.95;0.41
2006\12\4;7.29;0.40
2006\12\5;7.17;0.40
2006\12\6;7.71;0.37
2006\12\7;6.69;0.38
2006\12\8;7.07;0.37
2006\12\9;7.15;0.36
2006\12\10;7.17;0.34
2006\12\11;6.96;0.36
2006\12\12;6.80;0.34
2006\12\13;7.02;0.34
2006\12\14;6.94;0.33
2006\12\15;6.49;0.33
2006\12\16;6.40;0.33
2006\12\17;6.84;0.33
2006\12\18;5.86;0.33
2006\12\19;5.87;0.34
2006\12\20;5.89;0.33
2006\12\21;6.34;0.31
2006\12\22;6.36;0.32
2006\12\23;6.11;0.33
2006\12\24;6.39;0.32
2006\12\25;6.16;0.35
2006\12\26;6.38;0.33
2006\12\27;6.46;0.33
2006\12\28;5.94;0.35
2006\12\29;5.75;0.35
2006\12\30;6.12;0.34
2006\12\31;6.47;0.34
