Date,T_min,T_max,Precipitation,All sky,Clear sky
2004-01-01,-4.1,4.7,0.0,7.88,6.88
2004-01-01,-4.1,4.7,0.0,8.03,6.93
2004-01-01,-4.1,4.7,0.0,7.64,6.95
2004-01-01,-4.1,4.7,0.0,6.91,7.01
2004-01-01,-4.1,4.7,0.0,7.24,7.15
2004-01-01,-4.1,4.7,0.0,8.19,7.19
2004-01-01,-4.1,4.7,0.0,8.5,7.0
2004-01-01,-4.1,4.7,0.0,7.99,7.18
2004-01-01,-4.1,4.7,0.0,8.25,5.86
2004-01-01,-4.1,4.7,0.0,7.24,7.27
2004-01-01,-4.1,4.7,0.0,7.21,7.56
2004-01-01,-4.1,4.7,0.0,7.8,6.42
2004-01-01,-4.1,4.7,0.0,7.22,6.55
2004-01-01,-4.1,4.7,0.0,8.33,6.8
2004-01-01,-4.1,4.7,0.0,8.68,7.41
2004-01-01,-4.1,4.7,0.0,8.02,7.35
2004-01-01,-4.1,4.7,0.0,8.35,6.85
2004-01-01,-4.1,4.7,0.0,8.3,7.76
2004-01-01,-4.1,4.7,0.0,8.41,7.7
2004-01-01,-4.1,4.7,0.0,8.09,7.0
2004-01-01,-4.1,4.7,0.0,8.13,7.08
2004-01-01,-4.1,4.7,0.0,7.72,6.75
2004-01-01,-4.1,4.7,0.0,8.45,7.9
2004-01-01,-4.1,4.7,0.0,7.39,8.45
2004-01-01,-4.1,4.7,0.0,7.92,8.13
2004-01-01,-4.1,4.7,0.0,8.38,7.91
2004-01-01,-4.1,4.7,0.0,7.85,8.07
2004-01-01,-4.1,4.7,0.0,8.21,8.11
2004-01-01,-4.1,4.7,0.0,8.41,8.06
2004-01-01,-4.1,4.7,0.0,7.82,8.44
2004-01-01,-4.1,4.7,0.0,7.94,8.5
2004-01-01,-4.1,4.7,0.0,7.76,8.45
2004-01-01,-4.1,4.7,0.0,8.89,8.16
2004-01-01,-4.1,4.7,0.0,8.18,8.31
2004-01-01,-4.1,4.7,0.0,8.19,8.11
2004-01-01,-4.1,4.7,0.0,8.76,8.1
2004-01-01,-4.1,4.7,0.0,9.11,8.11
2004-01-01,-4.1,4.7,0.0,8.81,7.83
2004-01-01,-4.1,4.7,0.0,8.49,6.34
2004-01-01,-4.1,4.7,0.0,8.7,7.93
2004-01-01,-4.1,4.7,0.0,8.49,7.63
2004-01-01,-4.1,4.7,0.0,8.46,8.1
2004-01-01,-4.1,4.7,0.0,8.01,7.44
2004-01-01,-4.1,4.7,0.0,7.57,7.58
2004-01-01,-4.1,4.7,0.0,9.01,7.91
2004-01-01,-4.1,4.7,0.0,9.1,8.27
2004-01-01,-4.1,4.7,0.0,8.74,7.17
2004-01-01,-4.1,4.7,0.0,8.46,8.07
2004-01-01,-4.1,4.7,0.0,8.45,8.29
2004-01-01,-4.1,4.7,0.0,8.46,8.44
2004-01-01,-4.1,4.7,0.0,7.58,8.58
2004-01-01,-4.1,4.7,0.0,7.83,8.45
2004-01-01,-4.1,4.7,0.0,8.41,8.23
2004-01-01,-4.1,4.7,0.0,8.82,7.1
2004-01-01,-4.1,4.7,0.0,7.8,8.36
2004-01-01,-4.1,4.7,0.0,9.22,8.35
2004-01-01,-4.1,4.7,0.0,8.33,6.73
2004-01-01,-4.1,4.7,0.0,9.24,7.84
2004-01-01,-4.1,4.7,0.0,9.27,7.92
2004-01-01,-4.1,4.7,0.0,8.99,7.21
2004-01-01,-4.1,4.7,0.0,9.08,6.76
2004-01-01,-4.1,4.7,0.0,9.34,8.17
2004-01-01,-4.1,4.7,0.0,9.22,7.39
2004-01-01,-4.1,4.7,0.0,9.37,8.08
2004-01-01,-4.1,4.7,0.0,9.0,7.72
2004-01-01,-4.1,4.7,0.0,8.68,7.5
2004-01-01,-4.1,4.7,0.0,8.87,7.37
2004-01-01,-4.1,4.7,0.0,8.38,7.0
2004-01-01,-4.1,4.7,0.0,8.69,7.97
2004-01-01,-4.1,4.7,0.0,8.29,8.1
2004-01-01,-4.1,4.7,0.0,8.23,7.54
2004-01-01,-4.1,4.7,0.0,7.96,7.06
2004-01-01,-4.1,4.7,0.0,8.9,6.54
2004-01-01,-4.1,4.7,0.0,8.48,6.47
2004-01-01,-4.1,4.7,0.0,8.15,7.05
2004-01-01,-4.1,4.7,0.0,8.23,8.31
2004-01-01,-4.1,4.7,0.0,7.97,8.31
2004-01-01,-4.1,4.7,0.0,7.95,8.0
2004-01-01,-4.1,4.7,0.0,8.62,7.14
2004-01-01,-4.1,4.7,0.0,8.33,6.55
2004-01-01,-4.1,4.7,0.0,9.05,6.71
2004-01-01,-4.1,4.7,0.0,9.18,7.22
2004-01-01,-4.1,4.7,0.0,8.99,7.79
2004-01-01,-4.1,4.7,0.0,9.43,7.5
2004-01-01,-4.1,4.7,0.0,9.56,7.78
2004-01-01,-4.1,4.7,0.0,9.33,7.71
2004-01-01,-4.1,4.7,0.0,9.32,7.68
2004-01-01,-4.1,4.7,0.0,8.58,6.22
2004-01-01,-4.1,4.7,0.0,7.85,7.83
2004-01-01,-4.1,4.7,0.0,8.05,6.46
2004-01-01,-4.1,4.7,0.0,8.79,6.56
2004-01-01,-4.1,4.7,0.0,9.11,7.63
2004-01-01,-4.1,4.7,0.0,8.96,7.59
2004-01-01,-4.1,4.7,0.0,8.63,6.18
2004-01-01,-4.1,4.7,0.0,8.84,7.39
2004-01-01,-4.1,4.7,0.0,8.7,7.11
2004-01-01,-4.1,4.7,0.0,8.66,7.68
2004-01-01,-4.1,4.7,0.0,8.8,7.37
2004-01-01,-4.1,4.7,0.0,8.95,7.54
2004-01-01,-4.1,4.7,0.0,8.86,7.54
2004-01-01,-4.1,4.7,0.0,8.8,7.43
2004-01-01,-4.1,4.7,0.0,8.85,7.47
2004-01-01,-4.1,4.7,0.0,9.52,7.25
2004-01-01,-4.1,4.7,0.0,9.41,7.33
2004-01-01,-4.1,4.7,0.0,9.74,7.34
2004-01-01,-4.1,4.7,0.0,8.96,6.39
2004-01-01,-4.1,4.7,0.0,9.13,6.71
2004-01-01,-4.1,4.7,0.0,9.12,6.96
2004-01-01,-4.1,4.7,0.0,9.13,7.17
2004-01-01,-4.1,4.7,0.0,9.12,6.51
2004-01-01,-4.1,4.7,0.0,9.21,6.98
2004-01-01,-4.1,4.7,0.0,9.09,6.97
2004-01-01,-4.1,4.7,0.0,8.69,6.09
2004-01-01,-4.1,4.7,0.0,8.29,6.73
2004-01-01,-4.1,4.7,0.0,8.78,6.76
2004-01-01,-4.1,4.7,0.0,9.21,6.0
2004-01-01,-4.1,4.7,0.0,8.93,6.63
2004-01-01,-4.1,4.7,0.0,9.31,5.75
2004-01-01,-4.1,4.7,0.0,9.48,6.65
2004-01-01,-4.1,4.7,0.0,9.48,6.52
2004-01-01,-4.1,4.7,0.0,9.51,6.14
2004-01-01,-4.1,4.7,0.0,9.09,6.63
2004-01-01,-4.1,4.7,0.0,8.96,6.56
2004-01-01,-4.1,4.7,0.0,9.21,6.17
2004-01-01,-4.1,4.7,0.0,9.12,6.09
2004-01-01,-4.1,4.7,0.0,9.05,5.77
2004-01-01,-4.1,4.7,0.0,8.3,6.14
2004-01-01,-4.1,4.7,0.0,8.54,6.49
2004-01-01,-4.1,4.7,0.0,9.19,6.22
2004-01-01,-4.1,4.7,0.0,9.2,5.98
2004-01-01,-4.1,4.7,0.0,9.0,6.18
2004-01-01,-4.1,4.7,0.0,9.01,5.77
2004-01-01,-4.1,4.7,0.0,8.8,5.55
2004-01-01,-4.1,4.7,0.0,8.63,5.71
2004-01-01,-4.1,4.7,0.0,8.27,5.18
2004-01-01,-4.1,4.7,0.0,8.55,5.55
