Date,All sky,Clear sky
2004-01-01,8.9,6.02
2004-01-01,8.75,5.49
2004-01-01,9.09,6.83
2004-01-01,8.33,7.0
2004-01-01,8.15,6.78
2004-01-01,8.2,6.9
2004-01-01,8.56,6.98
2004-01-01,8.78,5.82
2004-01-01,8.76,6.46
2004-01-01,8.77,6.38
2004-01-01,8.07,5.64
2004-01-01,8.18,4.91
2004-01-01,8.19,6.02
2004-01-01,7.99,6.53
2004-01-01,8.25,6.23
2004-01-01,8.11,6.3
2004-01-01,7.63,6.14
2004-01-01,8.55,5.9
2004-01-01,8.41,4.58
2004-01-01,8.66,5.9
2004-01-01,9.0,5.91
2004-01-01,9.15,5.61
2004-01-01,8.29,5.79
2004-01-01,7.68,5.88
2004-01-01,7.5,5.34
2004-01-01,7.89,5.56
2004-01-01,8.5,5.34
2004-01-01,8.42,5.22
2004-01-01,8.56,5.21
2004-01-01,7.92,5.3
2004-01-01,7.97,5.25
2004-01-01,8.12,5.19
2004-01-01,8.31,4.85
2004-01-01,8.69,4.76
2004-01-01,8.73,4.86
2004-01-01,7.45,5.11
2004-01-01,7.4,4.98
2004-01-01,8.47,4.67
2004-01-01,7.54,4.65
2004-01-01,7.57,4.71
2004-01-01,7.43,4.65
2004-01-01,7.82,4.5
2004-01-01,7.69,4.49
2004-01-01,8.38,4.25
2004-01-01,8.45,4.26
2004-01-01,7.64,4.11
2004-01-01,8.35,4.08
2004-01-01,7.65,3.89
2004-01-01,7.67,4.17
2004-01-01,8.01,3.86
2004-01-01,8.11,3.57
2004-01-01,7.41,3.66
2004-01-01,7.9,3.6
2004-01-01,8.0,3.63
2004-01-01,8.16,3.54
2004-01-01,8.05,2.88
2004-01-01,7.61,3.41
2004-01-01,7.86,3.03
2004-01-01,7.52,3.09
2004-01-01,7.79,2.69
2004-01-01,7.76,3.12
2004-01-01,7.54,3.09
2004-01-01,6.29,3.12
2004-01-01,7.68,3.03
2004-01-01,7.6,2.91
2004-01-01,7.57,2.86
2004-01-01,7.51,2.77
2004-01-01,8.08,2.67
2004-01-01,7.58,2.62
2004-01-01,7.57,2.55
2004-01-01,7.66,2.5
2004-01-01,6.72,2.42
2004-01-01,6.75,2.49
2004-01-01,6.48,2.25
2004-01-01,6.47,1.78
2004-01-01,5.61,2.3
2004-01-01,5.63,2.33
2004-01-01,6.12,2.14
2004-01-01,7.32,1.3
2004-01-01,7.67,1.94
2004-01-01,7.27,1.89
2004-01-01,6.83,1.85
2004-01-01,7.36,1.84
2004-01-01,7.37,1.74
2004-01-01,6.93,1.66
2004-01-01,7.28,1.72
2004-01-01,6.43,1.37
2004-01-01,7.14,1.48
2004-01-01,7.88,1.51
2004-01-01,6.24,1.51
2004-01-01,6.58,1.5
2004-01-01,6.45,1.34
2004-01-01,6.87,1.3
2004-01-01,5.71,1.43
2004-01-01,5.67,1.4
2004-01-01,5.93,0.88
2004-01-01,7.16,1.21
2004-01-01,7.42,1.15
2004-01-01,6.69,0.59
2004-01-01,6.71,0.74
2004-01-01,6.25,1.03
2004-01-01,6.13,0.45
2004-01-01,5.92,0.9
2004-01-01,6.56,0.86
2004-01-01,6.82,0.86
2004-01-01,7.39,0.85
2004-01-01,5.77,0.38
2004-01-01,6.8,0.76
2004-01-01,6.57,0.78
2004-01-01,5.58,0.75
2004-01-01,6.43,0.76
2004-01-01,5.28,0.71
2004-01-01,6.15,0.69
2004-01-01,5.5,0.65
2004-01-01,5.45,0.65
2004-01-01,5.73,0.61
2004-01-01,5.93,0.57
2004-01-01,5.81,0.55
2004-01-01,5.02,0.55
2004-01-01,5.18,0.53
2004-01-01,5.24,0.52
2004-01-01,6.19,0.49
2004-01-01,5.72,0.46
2004-01-01,6.3,0.44
2004-01-01,6.36,0.43
2004-01-01,6.23,0.43
2004-01-01,5.58,0.43
2004-01-01,6.6,0.39
2004-01-01,5.63,0.39
2004-01-01,6.09,0.38
2004-01-01,5.79,0.37
2004-01-01,6.47,0.37
2004-01-01,5.9,0.36
2004-01-01,6.05,0.34
2004-01-01,6.04,0.34
2004-01-01,4.75,0.36
2004-01-01,6.05,0.34
2004-01-01,6.6,0.32
2004-01-01,5.95,0.33
2004-01-01,5.77,0.32
2004-01-01,6.42,0.33
2004-01-01,6.27,0.31
2004-01-01,6.65,0.32
2004-01-01,6.01,0.32
2004-01-01,4.97,0.34
2004-01-01,5.67,0.32
2004-01-01,6.23,0.32
2004-01-01,5.83,0.34
2004-01-01,5.4,0.32
2004-01-01,5.36,0.33
2004-01-01,5.87,0.33
2004-01-01,5.82,0.34
2004-01-01,6.18,0.34
2004-01-01,5.36,0.36
2004-01-01,4.99,0.38
2004-01-01,5.49,0.39
2004-01-01,5.98,0.39
2004-01-01,6.1,0.4
2004-01-01,6.47,0.4
2004-01-01,5.83,0.42
2004-01-01,6.44,0.42
2004-01-01,6.28,0.43
2004-01-01,6.7,0.44
2004-01-01,6.37,0.47
2004-01-01,6.21,0.47
2004-01-01,6.25,0.49
2004-01-01,6.16,0.52
2004-01-01,6.45,0.53
2004-01-01,5.49,0.57
2004-01-01,6.02,0.56
2004-01-01,6.54,0.56
2004-01-01,6.07,0.6
2004-01-01,5.59,0.65
2004-01-01,6.15,0.65
2004-01-01,6.21,0.67
2004-01-01,6.03,0.7
2004-01-01,6.0,0.72
2004-01-01,5.86,0.76
2004-01-01,5.97,0.82
2004-01-01,5.24,0.86
2004-01-01,5.23,0.96
2004-01-01,5.72,0.94
2004-01-01,5.05,1.0
2004-01-01,5.46,1.03
2004-01-01,5.55,1.03
2004-01-01,5.18,1.1
2004-01-01,5.68,1.12
2004-01-01,4.64,1.22
2004-01-01,4.88,1.26
2004-01-01,5.31,1.26
2004-01-01,6.36,1.28
2004-01-01,5.7,1.31
2004-01-01,4.73,1.41
2004-01-01,5.45,1.44
2004-01-01,5.44,1.49
2004-01-01,5.93,1.49
2004-01-01,5.27,1.6
2004-01-01,5.8,1.69
2004-01-01,5.75,1.7
2004-01-01,5.45,1.69
2004-01-01,4.68,1.81
2004-01-01,4.69,1.85
2004-01-01,5.57,1.92
2004-01-01,5.66,1.98
2004-01-01,5.74,1.97
2004-01-01,5.18,2.07
2004-01-01,4.93,2.17
2004-01-01,5.26,2.24
2004-01-01,5.28,2.29
2004-01-01,5.47,2.35
2004-01-01,5.18,2.42
2004-01-01,4.9,2.52
2004-01-01,4.63,2.64
2004-01-01,5.23,2.66
2004-01-01,5.32,2.77
2004-01-01,5.04,2.82
2004-01-01,4.82,2.85
2004-01-01,4.96,2.78
2004-01-01,5.58,2.9
2004-01-01,5.45,2.97
2004-01-01,5.37,3.12
2004-01-01,4.83,3.2
2004-01-01,4.65,3.37
2004-01-01,5.19,3.4
2004-01-01,4.56,3.47
2004-01-01,4.77,3.46
2004-01-01,4.73,3.55
2004-01-01,4.7,3.63
2004-01-01,5.6,3.76
2004-01-01,6.04,3.7
2004-01-01,6.09,3.68
2004-01-01,6.19,4.04
2004-01-01,5.98,4.14
2004-01-01,5.79,4.14
2004-01-01,5.63,4.13
2004-01-01,5.68,4.08
2004-01-01,6.26,4.17
2004-01-01,6.19,4.25
2004-01-01,5.49,4.47
2004-01-01,5.52,4.57
2004-01-01,5.58,4.76
2004-01-01,6.07,4.75
2004-01-01,5.76,4.76
2004-01-01,5.51,4.81
2004-01-01,7.0,4.7
2004-01-01,6.64,4.78
2004-01-01,6.76,4.85
2004-01-01,6.49,4.93
2004-01-01,6.18,5.09
2004-01-01,7.12,5.09
2004-01-01,6.65,5.15
2004-01-01,7.38,5.1
2004-01-01,7.58,5.2
2004-01-01,7.25,5.18
2004-01-01,6.46,5.43
2004-01-01,6.43,5.69
2004-01-01,7.44,5.47
2004-01-01,6.76,5.71
2004-01-01,6.62,5.7
2004-01-01,6.88,5.78
2004-01-01,5.86,6.06
2004-01-01,5.84,6.11
2004-01-01,6.4,6.11
2004-01-01,6.45,6.24
2004-01-01,6.75,6.23
2004-01-01,6.43,6.25
2004-01-01,6.56,6.29
2004-01-01,6.94,6.35
2004-01-01,6.16,6.51
2004-01-01,5.99,6.52
2004-01-01,6.88,6.53
2004-01-01,7.44,6.43
2004-01-01,7.0,6.66
2004-01-01,7.07,6.63
2004-01-01,7.33,6.6
2004-01-01,6.9,6.68
2004-01-01,6.66,7.05
2004-01-01,7.29,6.7
2004-01-01,7.3,6.83
2004-01-01,7.6,6.75
2004-01-01,7.57,5.79
2004-01-01,7.67,6.89
2004-01-01,7.41,6.4
2004-01-01,7.46,7.06
2004-01-01,7.5,7.17
2004-01-01,7.0,7.27
2004-01-01,7.49,7.1
2004-01-01,7.49,7.33
2004-01-01,6.48,5.97
2004-01-01,7.46,5.9
2004-01-01,8.04,7.49
2004-01-01,8.31,7.39
2004-01-01,7.63,7.56
2004-01-01,6.79,8.09
2004-01-01,7.4,8.06
2004-01-01,7.25,7.04
2004-01-01,8.18,7.48
2004-01-01,8.38,7.4
2004-01-01,7.97,8.0
2004-01-01,8.24,7.16
2004-01-01,8.43,7.68
2004-01-01,7.17,8.28
2004-01-01,7.49,7.87
2004-01-01,8.07,7.91
2004-01-01,8.04,8.02
2004-01-01,7.99,7.93
2004-01-01,7.69,6.39
2004-01-01,7.6,8.17
2004-01-01,8.22,8.04
2004-01-01,8.38,7.83
2004-01-01,7.86,7.98
2004-01-01,8.12,7.63
2004-01-01,8.28,7.93
2004-01-01,7.07,8.55
2004-01-01,7.56,8.5
2004-01-01,8.55,7.67
2004-01-01,8.83,7.92
2004-01-01,8.76,7.29
2004-01-01,8.94,7.57
2004-01-01,8.88,7.99
2004-01-01,8.51,7.13
2004-01-01,8.56,7.22
2004-01-01,7.78,7.98
2004-01-01,7.61,6.74
2004-01-01,7.05,8.63
2004-01-01,7.2,8.79
2004-01-01,7.18,8.72
2004-01-01,7.39,8.68
2004-01-01,8.24,8.4
2004-01-01,8.98,7.64
2004-01-01,7.73,6.4
2004-01-01,7.81,8.18
2004-01-01,7.77,7.31
2004-01-01,7.91,7.99
2004-01-01,8.2,7.05
2004-01-01,8.32,7.87
2004-01-01,7.55,8.51
2004-01-01,7.25,8.51
2004-01-01,7.55,7.57
2004-01-01,8.23,7.55
2004-01-01,8.81,6.66
2004-01-01,7.21,8.41
2004-01-01,8.07,7.96
2004-01-01,7.95,8.09
2004-01-01,7.88,8.0
2004-01-01,9.11,6.61
2004-01-01,8.48,7.38
2004-01-01,8.33,6.73
2004-01-01,8.63,7.38
2004-01-01,8.45,7.47
2004-01-01,8.45,7.88
2004-01-01,8.98,7.74
2004-01-01,9.03,7.37
2004-01-01,8.88,7.12
2004-01-01,8.76,7.18
2004-01-01,9.08,6.21
2004-01-01,8.46,7.06
2004-01-01,8.63,7.16
2004-01-01,8.68,7.42
2004-01-01,8.96,6.98
2004-01-01,8.58,7.25
2004-01-01,8.67,5.97
2004-01-01,8.36,5.89
2004-01-01,7.75,7.32
2004-01-01,8.86,6.46
2004-01-01,9.08,6.67
2004-01-01,8.61,6.85
2004-01-01,8.5,6.83
2004-01-01,8.11,5.55
2004-01-01,7.88,6.5
2004-01-01,8.74,6.6
2004-01-01,8.9,6.51
2004-01-01,9.03,6.0
2004-01-01,8.37,6.66
2004-01-01,9.27,5.0
2004-01-01,8.63,5.1
2004-01-01,8.49,6.24
2004-01-01,8.93,4.54
2004-01-01,8.79,6.18
2004-01-01,8.83,6.23
2004-01-01,8.45,6.4
2004-01-01,8.38,6.25
2004-01-01,8.04,5.96
2004-01-01,7.38,6.15
2004-01-01,7.15,6.17
2004-01-01,7.48,5.83
2004-01-01,8.45,4.54
2004-01-01,8.19,5.28
2004-01-01,7.98,5.4
2004-01-01,7.68,4.71
2004-01-01,7.83,5.39
2004-01-01,8.03,5.41
2004-01-01,8.36,5.36
2004-01-01,8.05,4.28
2004-01-01,8.15,4.37
2004-01-01,8.38,4.99
2004-01-01,8.04,5.19
2004-01-01,7.88,5.11
2004-01-01,7.78,4.14
2004-01-01,7.49,4.93
2004-01-01,8.35,4.71
2004-01-01,8.11,4.67
2004-01-01,7.45,4.88
2004-01-01,7.84,4.83
2004-01-01,8.87,4.56
2004-01-01,8.06,3.98
2004-01-01,7.88,4.61
2004-01-01,7.18,4.46
2004-01-01,7.86,4.34
2004-01-01,7.37,3.87
2004-01-01,7.51,4.21
2004-01-01,8.0,4.08
2004-01-01,7.64,4.25
2004-01-01,7.58,4.17
2004-01-01,7.34,3.92
2004-01-01,7.8,3.47
2004-01-01,7.58,3.7
2004-01-01,7.85,2.42
2004-01-01,7.57,3.6
2004-01-01,7.58,3.42
2004-01-01,7.84,3.46
2004-01-01,6.95,3.39
2004-01-01,7.76,2.79
2004-01-01,7.05,3.02
2004-01-01,7.73,2.46
2004-01-01,8.22,3.07
2004-01-01,8.35,2.1
2004-01-01,7.52,2.65
2004-01-01,8.02,2.32
2004-01-01,7.96,2.57
2004-01-01,7.23,2.8
2004-01-01,6.85,2.87
2004-01-01,7.39,2.67
2004-01-01,7.15,2.64
2004-01-01,7.57,2.48
2004-01-01,6.66,2.57
2004-01-01,6.65,2.35
2004-01-01,7.08,2.31
2004-01-01,7.07,2.35
2004-01-01,6.81,2.32
2004-01-01,6.91,2.05
2004-01-01,7.12,2.18
2004-01-01,6.84,1.06
2004-01-01,7.08,2.05
2004-01-01,6.38,2.01
2004-01-01,6.5,1.95
2004-01-01,6.86,1.55
2004-01-01,7.06,1.82
2004-01-01,7.44,1.75
2004-01-01,7.07,0.94
2004-01-01,6.94,1.77
2004-01-01,6.32,1.76
2004-01-01,6.49,1.57
2004-01-01,6.53,1.57
2004-01-01,6.05,1.26
2004-01-01,5.52,1.25
2004-01-01,6.14,0.97
2004-01-01,6.18,1.2
2004-01-01,5.75,1.16
2004-01-01,5.8,1.31
2004-01-01,6.21,0.58
2004-01-01,7.24,0.81
2004-01-01,7.42,1.1
2004-01-01,7.12,1.08
2004-01-01,6.99,1.06
2004-01-01,6.59,1.05
2004-01-01,6.31,0.45
2004-01-01,6.04,0.93
2004-01-01,6.38,0.92
2004-01-01,6.4,0.91
2004-01-01,7.15,0.83
2004-01-01,7.04,0.85
2004-01-01,6.93,0.81
2004-01-01,6.31,0.83
2004-01-01,6.54,0.76
2004-01-01,6.4,0.7
2004-01-01,6.56,0.71
2004-01-01,5.99,0.66
2004-01-01,5.24,0.63
2004-01-01,5.7,0.6
2004-01-01,6.28,0.58
2004-01-01,5.74,0.56
2004-01-01,6.14,0.54
2004-01-01,6.24,0.52
2004-01-01,5.57,0.53
2004-01-01,6.76,0.48
2004-01-01,6.23,0.48
2004-01-01,6.08,0.47
2004-01-01,5.93,0.46
2004-01-01,5.89,0.44
2004-01-01,5.78,0.43
2004-01-01,5.67,0.42
2004-01-01,5.51,0.41
2004-01-01,5.71,0.4
2004-01-01,6.33,0.38
2004-01-01,5.26,0.38
2004-01-01,5.32,0.39
2004-01-01,5.81,0.37
2004-01-01,5.71,0.36
2004-01-01,6.18,0.34
2004-01-01,6.02,0.34
2004-01-01,5.52,0.35
2004-01-01,6.4,0.33
2004-01-01,6.17,0.33
2004-01-01,6.2,0.33
2004-01-01,6.01,0.33
2004-01-01,5.72,0.33
2004-01-01,5.03,0.33
2004-01-01,5.57,0.32
2004-01-01,4.93,0.33
2004-01-01,5.41,0.33
2004-01-01,6.05,0.33
2004-01-01,5.9,0.33
2004-01-01,6.0,0.34
2004-01-01,5.85,0.34
2004-01-01,5.38,0.35
2004-01-01,5.9,0.34
2004-01-01,5.64,0.34
2004-01-01,6.75,0.34
2004-01-01,6.14,0.36
2004-01-01,6.61,0.36
2004-01-01,6.4,0.37
2004-01-01,5.4,0.4
2004-01-01,6.18,0.4
2004-01-01,6.06,0.39
2004-01-01,5.73,0.42
2004-01-01,6.07,0.42
2004-01-01,5.01,0.45
2004-01-01,5.26,0.47
2004-01-01,6.47,0.46
2004-01-01,5.88,0.49
2004-01-01,6.12,0.51
2004-01-01,5.53,0.53
2004-01-01,5.99,0.55
2004-01-01,4.88,0.57
2004-01-01,5.22,0.63
2004-01-01,4.9,0.67
2004-01-01,5.02,0.69
2004-01-01,4.79,0.71
2004-01-01,4.96,0.73
2004-01-01,5.18,0.74
2004-01-01,5.29,0.77
2004-01-01,5.91,0.75
2004-01-01,6.05,0.79
2004-01-01,6.03,0.83
2004-01-01,6.31,0.87
2004-01-01,5.64,0.93
2004-01-01,5.7,1.01
2004-01-01,5.61,0.98
2004-01-01,4.6,1.03
2004-01-01,4.89,1.1
2004-01-01,5.37,1.15
2004-01-01,5.34,1.23
2004-01-01,5.18,1.26
2004-01-01,5.23,1.3
2004-01-01,5.13,1.35
2004-01-01,5.01,1.4
2004-01-01,5.23,1.45
2004-01-01,4.94,1.42
2004-01-01,5.57,1.45
2004-01-01,5.24,1.49
2004-01-01,4.65,1.59
2004-01-01,4.6,1.66
2004-01-01,5.45,1.63
2004-01-01,4.76,1.75
2004-01-01,5.06,1.82
2004-01-01,5.47,1.83
2004-01-01,5.6,1.87
2004-01-01,5.91,1.86
2004-01-01,5.45,1.8
2004-01-01,5.9,2.03
2004-01-01,5.27,2.17
2004-01-01,5.0,2.2
2004-01-01,5.03,2.29
2004-01-01,5.95,2.28
2004-01-01,5.34,2.42
2004-01-01,5.12,2.52
2004-01-01,5.23,2.59
2004-01-01,4.8,2.63
2004-01-01,5.52,2.69
2004-01-01,4.53,2.71
2004-01-01,5.1,2.77
2004-01-01,5.38,2.71
2004-01-01,4.78,2.91
2004-01-01,5.38,3.0
2004-01-01,4.85,2.93
2004-01-01,5.02,3.17
2004-01-01,5.08,3.21
2004-01-01,5.85,3.32
2004-01-01,6.12,3.36
2004-01-01,5.23,3.32
2004-01-01,5.13,3.51
2004-01-01,5.31,3.55
2004-01-01,5.39,3.66
2004-01-01,5.65,3.68
2004-01-01,5.98,3.76
2004-01-01,6.03,3.79
2004-01-01,5.83,3.94
2004-01-01,5.34,4.06
2004-01-01,5.23,4.14
2004-01-01,5.14,4.11
2004-01-01,4.94,4.38
2004-01-01,5.2,4.4
2004-01-01,5.91,4.46
2004-01-01,5.48,4.59
2004-01-01,6.58,4.45
2004-01-01,6.69,4.57
2004-01-01,6.42,4.58
2004-01-01,6.57,4.68
2004-01-01,6.8,4.65
2004-01-01,6.05,4.96
2004-01-01,6.61,5.02
2004-01-01,6.37,5.05
2004-01-01,6.61,4.91
2004-01-01,6.59,5.1
2004-01-01,6.94,5.34
2004-01-01,6.63,5.33
2004-01-01,6.48,5.38
2004-01-01,6.59,5.36
2004-01-01,6.18,5.37
2004-01-01,6.7,5.5
2004-01-01,6.5,5.77
2004-01-01,6.72,5.56
2004-01-01,6.77,5.67
2004-01-01,7.12,5.82
2004-01-01,7.09,5.75
2004-01-01,7.32,6.04
2004-01-01,7.0,5.92
2004-01-01,6.82,6.13
2004-01-01,7.32,6.06
2004-01-01,6.79,6.15
2004-01-01,6.04,6.47
2004-01-01,5.89,6.51
2004-01-01,6.46,6.56
2004-01-01,6.29,6.7
2004-01-01,6.27,6.5
2004-01-01,6.55,6.66
2004-01-01,6.12,6.69
2004-01-01,5.64,7.17
2004-01-01,6.56,6.75
2004-01-01,6.31,5.79
2004-01-01,6.37,5.8
2004-01-01,6.46,5.67
2004-01-01,6.94,5.9
2004-01-01,7.17,6.3
2004-01-01,6.87,7.18
2004-01-01,6.37,7.17
2004-01-01,6.54,7.23
2004-01-01,7.22,7.49
2004-01-01,6.81,7.28
2004-01-01,6.43,7.74
2004-01-01,7.16,6.14
2004-01-01,7.41,7.48
2004-01-01,7.12,7.62
2004-01-01,7.18,7.7
2004-01-01,6.58,7.98
2004-01-01,7.07,7.74
2004-01-01,7.68,7.46
2004-01-01,8.12,7.49
2004-01-01,8.0,7.54
2004-01-01,8.19,6.1
2004-01-01,8.41,7.67
2004-01-01,7.79,7.79
2004-01-01,7.65,7.25
2004-01-01,7.14,7.94
2004-01-01,7.7,7.83
2004-01-01,7.3,6.79
2004-01-01,7.24,7.96
2004-01-01,7.44,7.85
2004-01-01,7.66,8.03
2004-01-01,8.07,7.78
2004-01-01,8.52,7.98
2004-01-01,7.16,8.45
2004-01-01,8.23,8.0
2004-01-01,8.26,7.88
2004-01-01,7.77,7.92
2004-01-01,7.67,8.22
2004-01-01,8.09,8.2
2004-01-01,7.78,8.13
2004-01-01,8.2,8.49
2004-01-01,8.48,8.22
2004-01-01,7.87,8.57
2004-01-01,8.07,8.5
2004-01-01,8.04,8.44
2004-01-01,8.53,8.07
2004-01-01,8.47,8.3
2004-01-01,8.51,7.3
2004-01-01,8.34,7.72
2004-01-01,8.37,7.57
2004-01-01,8.73,7.84
2004-01-01,9.0,7.82
2004-01-01,8.67,8.16
2004-01-01,9.11,7.31
2004-01-01,9.02,8.23
2004-01-01,9.07,8.09
2004-01-01,8.29,8.25
2004-01-01,8.75,7.95
2004-01-01,8.94,8.02
2004-01-01,8.83,8.06
2004-01-01,8.08,8.53
2004-01-01,8.24,8.69
2004-01-01,8.15,8.32
2004-01-01,8.31,8.46
2004-01-01,7.99,8.31
2004-01-01,8.91,8.09
2004-01-01,9.05,7.86
2004-01-01,8.42,7.47
2004-01-01,8.66,7.37
2004-01-01,8.74,7.56
2004-01-01,9.08,7.6
2004-01-01,9.23,6.84
2004-01-01,8.89,7.93
2004-01-01,8.06,8.18
2004-01-01,9.13,7.38
2004-01-01,9.01,7.55
2004-01-01,8.19,7.72
2004-01-01,8.0,7.45
2004-01-01,8.62,7.48
2004-01-01,7.87,7.93
