,,t_min,t_max,dlen,day,state
0,0,0.0,0.0,0.021641673856725684,0.0,0.0066928509242848554
0,1,0.0,0.0,0.04373886357728283,0.027777777777777776,0.008577485413711984
0,2,0.0,0.0,0.06628202572252546,0.05555555555555555,0.01098694263059318
0,3,0.0,0.0,0.08926136455372971,0.08333333333333333,0.014063627043245475
0,4,0.0,0.0,0.1126668320916118,0.1111111111111111,0.01798620996209156
0,5,0.0,0.04375,0.1364881285814125,0.1388888888888889,0.022977369910025615
0,6,0.007499999999999995,0.10625,0.1607147033810407,0.16666666666666666,0.02931223075135632
0,7,0.019999999999999997,0.1775,0.18533575628835647,0.19444444444444445,0.03732688734412946
0,8,0.0675,0.23374999999999999,0.21034023932262502,0.2222222222222222,0.04742587317756678
0,9,0.0675,0.23374999999999999,0.23571685897397893,0.25,0.060086650174007626
0,10,0.08125,0.23374999999999999,0.26145407893339,0.2777777777777778,0.07585818002124355
0,11,0.0875,0.23374999999999999,0.2875401233141722,0.3055555555555556,0.09534946489910949
0,12,0.12625,0.23374999999999999,0.31396298037441833,0.3333333333333333,0.11920292202211755
0,13,0.1675,0.23374999999999999,0.3407104067480159,0.3611111111111111,0.14804719803168948
0,14,0.18,0.2525,0.367769932189998,0.3888888888888889,0.18242552380635635
0,15,0.23125,0.26749999999999996,0.39512886483997356,0.4166666666666667,0.22270013882530884
0,16,0.26875,0.26749999999999996,0.4227742970052514,0.4444444444444444,0.2689414213699951
0,17,0.3,0.26749999999999996,0.4506931114630383,0.4722222222222222,0.320821300824607
0,18,0.325,0.26749999999999996,0.47887198827876665,0.5,0.3775406687981454
0,19,0.325,0.275,0.5072974121351995,0.5277777777777778,0.43782349911420193
0,20,0.36625,0.275,0.5359556801644978,0.5555555555555556,0.5
0,21,0.4175000000000001,0.31,0.5648329102729175,0.5833333333333334,0.5621765008857981
0,22,0.44625000000000004,0.33375,0.5939150499452712,0.6111111111111112,0.6224593312018546
0,23,0.50875,0.33375,0.6231878855137424,0.6388888888888888,0.679178699175393
0,24,0.5387500000000001,0.33375,0.6526370518731116,0.6666666666666666,0.7310585786300049
0,25,0.5387500000000001,0.33375,0.6822480426219636,0.6944444444444444,0.7772998611746911
0,26,0.545,0.33625,0.7120062206070144,0.7222222222222222,0.8175744761936437
0,27,0.545,0.39,0.7418968288453454,0.75,0.8519528019683106
0,28,0.5675000000000001,0.46125,0.7719050017970903,0.7777777777777778,0.8807970779778823
0,29,0.6450000000000001,0.505,0.8020157769590052,0.8055555555555556,0.9046505351008906
0,30,0.6762500000000001,0.5599999999999999,0.8322141067473806,0.8333333333333334,0.9241418199787566
0,31,0.7012500000000002,0.6087499999999999,0.8624848706369633,0.8611111111111112,0.9399133498259924
0,32,0.7275000000000001,0.6424999999999998,0.8928128875209383,0.8888888888888888,0.9525741268224334
0,33,0.7887500000000001,0.7324999999999999,0.9231829282556241,0.9166666666666666,0.9626731126558706
0,34,0.8775000000000002,0.8149999999999998,0.9535797283523457,0.9444444444444444,0.9706877692486436
0,35,0.9650000000000002,0.9124999999999999,0.9839880007780065,0.9722222222222222,0.9770226300899744
0,36,1.0587500000000003,1.0049999999999997,1.014392448825168,1.0,0.9820137900379085
1,0,0.05249999999999999,0.09500000000000001,0.022979338831204243,0.0,0.0066928509242848554
1,1,0.12125,0.20500000000000002,0.04638480636908633,0.041666666666666664,0.009708476481474066
1,2,0.19499999999999998,0.31125,0.07020610285888702,0.08333333333333333,0.014063627043245475
1,3,0.27625,0.4025,0.09443267765851523,0.125,0.020332353342658753
1,4,0.37,0.48500000000000004,0.11905373056583099,0.16666666666666666,0.02931223075135632
1,5,0.44375,0.535,0.14405821360009957,0.20833333333333334,0.042087727915618836
1,6,0.51125,0.6012500000000001,0.16943483325145345,0.25,0.060086650174007626
1,7,0.5662499999999999,0.6850000000000002,0.1951720532108646,0.2916666666666667,0.08509904500702024
1,8,0.6449999999999999,0.7762500000000001,0.22125809759164677,0.3333333333333333,0.11920292202211755
1,9,0.7249999999999999,0.88125,0.2476809546518929,0.375,0.16451646289656316
1,10,0.80625,0.9949999999999999,0.2744283810254905,0.4166666666666667,0.22270013882530884
1,11,0.8875,1.0775,0.3014879064674726,0.4583333333333333,0.29421497216298875
1,12,0.97,1.1374999999999997,0.3288468391174481,0.5,0.3775406687981454
1,13,0.9987499999999999,1.1374999999999997,0.356492271282726,0.5416666666666666,0.46879062662624377
1,14,0.9999999999999998,1.1374999999999997,0.38441108574051286,0.5833333333333334,0.5621765008857981
1,15,0.9999999999999998,1.1474999999999997,0.4125899625562412,0.625,0.6513548646660542
1,16,1.0099999999999998,1.1474999999999997,0.4410153864126741,0.6666666666666666,0.7310585786300049
1,17,1.0224999999999997,1.19,0.4696736544419724,0.7083333333333334,0.7981867777396212
1,18,1.0662499999999997,1.27,0.49855088455039204,0.75,0.8519528019683106
1,19,1.1212499999999999,1.38,0.5276330242227457,0.7916666666666666,0.8933094060543487
1,20,1.1974999999999998,1.48875,0.556905859791217,0.8333333333333334,0.9241418199787566
1,21,1.2949999999999997,1.585,0.5863550261505861,0.875,0.9465966702001757
1,22,1.3712499999999999,1.645,0.6159660168994382,0.9166666666666666,0.9626731126558706
1,23,1.3962499999999998,1.6787499999999997,0.645724194884489,0.9583333333333334,0.9740426428022031
1,24,1.4324999999999999,1.7287499999999998,0.67561480312282,1.0,0.9820137900379085
2,0,0.0,0.0,0.021641673856725684,0.0,0.0066928509242848554
2,1,0.0,0.0,0.04373886357728283,0.02857142857142857,0.008638441349380632
2,2,0.0,0.0,0.06628202572252546,0.05714285714285714,0.011143263869926362
2,3,0.0,0.0,0.08926136455372971,0.08571428571428572,0.014363867104643092
2,4,0.0,0.0,0.1126668320916118,0.11428571428571428,0.018497870401472195
2,5,0.0,0.04375,0.1364881285814125,0.14285714285714285,0.023792942398164606
2,6,0.007499999999999995,0.10625,0.1607147033810407,0.17142857142857143,0.03055655656287596
2,7,0.019999999999999997,0.1775,0.18533575628835647,0.2,0.039165722796764356
2,8,0.0675,0.23374999999999999,0.21034023932262502,0.22857142857142856,0.0500751907317564
2,9,0.0675,0.23374999999999999,0.23571685897397893,0.2571428571428571,0.06382160477065378
2,10,0.08125,0.23374999999999999,0.26145407893339,0.2857142857142857,0.08101976866530781
2,11,0.0875,0.23374999999999999,0.2875401233141722,0.3142857142857143,0.10234571448249133
2,12,0.12625,0.23374999999999999,0.31396298037441833,0.34285714285714286,0.1285001395747747
2,13,0.1675,0.23374999999999999,0.3407104067480159,0.37142857142857144,0.16014590731729164
2,14,0.18,0.2525,0.367769932189998,0.4,0.19781611144141825
2,15,0.23125,0.26749999999999996,0.39512886483997356,0.42857142857142855,0.24179617240740997
2,16,0.26875,0.26749999999999996,0.4227742970052514,0.45714285714285713,0.29199503954145767
2,17,0.3,0.26749999999999996,0.4506931114630383,0.4857142857142857,0.347834532566021
2,18,0.325,0.26749999999999996,0.47887198827876665,0.5142857142857142,0.4081958734996694
2,19,0.325,0.275,0.5072974121351995,0.5428571428571428,0.4714596290177347
2,20,0.36625,0.275,0.5359556801644978,0.5714285714285714,0.5356536708339714
2,21,0.4175000000000001,0.31,0.5648329102729175,0.6,0.5986876601124519
2,22,0.44625000000000004,0.33375,0.5939150499452712,0.6285714285714286,0.6586182791989391
2,23,0.50875,0.33375,0.6231878855137424,0.6571428571428571,0.7138763512784722
2,24,0.5387500000000001,0.33375,0.6526370518731116,0.6857142857142857,0.7634031396496347
2,25,0.5387500000000001,0.33375,0.6822480426219636,0.7142857142857143,0.8066786301976914
2,26,0.545,0.33625,0.7120062206070144,0.7428571428571429,0.8436597149258572
2,27,0.545,0.39,0.7418968288453454,0.7714285714285715,0.8746656949684922
2,28,0.5675000000000001,0.46125,0.7719050017970903,0.8,0.9002495108803148
2,29,0.6450000000000001,0.505,0.8020157769590052,0.8285714285714286,0.9210822275124407
2,30,0.6762500000000001,0.5599999999999999,0.8322141067473806,0.8571428571428571,0.9378643669135703
2,31,0.7012500000000002,0.6087499999999999,0.8624848706369633,0.8857142857142857,0.9512665461461832
2,32,0.7275000000000001,0.6424999999999998,0.8928128875209383,0.9142857142857143,0.96189542658705
2,33,0.7887500000000001,0.7324999999999999,0.9231829282556241,0.9428571428571428,0.9702785528216991
2,34,0.8775000000000002,0.8149999999999998,0.9535797283523457,0.9714285714285714,0.9768617296058304
2,35,0.9650000000000002,0.9124999999999999,0.9839880007780065,1.0,0.9820137900379085
3,0,0.05249999999999999,0.09500000000000001,0.022979338831204243,0.0,0.0066928509242848554
3,1,0.12125,0.20500000000000002,0.04638480636908633,0.041666666666666664,0.009708476481474066
3,2,0.19499999999999998,0.31125,0.07020610285888702,0.08333333333333333,0.014063627043245475
3,3,0.27625,0.4025,0.09443267765851523,0.125,0.020332353342658753
3,4,0.37,0.48500000000000004,0.11905373056583099,0.16666666666666666,0.02931223075135632
3,5,0.44375,0.535,0.14405821360009957,0.20833333333333334,0.042087727915618836
3,6,0.51125,0.6012500000000001,0.16943483325145345,0.25,0.060086650174007626
3,7,0.5662499999999999,0.6850000000000002,0.1951720532108646,0.2916666666666667,0.08509904500702024
3,8,0.6449999999999999,0.7762500000000001,0.22125809759164677,0.3333333333333333,0.11920292202211755
3,9,0.7249999999999999,0.88125,0.2476809546518929,0.375,0.16451646289656316
3,10,0.80625,0.9949999999999999,0.2744283810254905,0.4166666666666667,0.22270013882530884
3,11,0.8875,1.0775,0.3014879064674726,0.4583333333333333,0.29421497216298875
3,12,0.97,1.1374999999999997,0.3288468391174481,0.5,0.3775406687981454
3,13,0.9987499999999999,1.1374999999999997,0.356492271282726,0.5416666666666666,0.46879062662624377
3,14,0.9999999999999998,1.1374999999999997,0.38441108574051286,0.5833333333333334,0.5621765008857981
3,15,0.9999999999999998,1.1474999999999997,0.4125899625562412,0.625,0.6513548646660542
3,16,1.0099999999999998,1.1474999999999997,0.4410153864126741,0.6666666666666666,0.7310585786300049
3,17,1.0224999999999997,1.19,0.4696736544419724,0.7083333333333334,0.7981867777396212
3,18,1.0662499999999997,1.27,0.49855088455039204,0.75,0.8519528019683106
3,19,1.1212499999999999,1.38,0.5276330242227457,0.7916666666666666,0.8933094060543487
3,20,1.1974999999999998,1.48875,0.556905859791217,0.8333333333333334,0.9241418199787566
3,21,1.2949999999999997,1.585,0.5863550261505861,0.875,0.9465966702001757
3,22,1.3712499999999999,1.645,0.6159660168994382,0.9166666666666666,0.9626731126558706
3,23,1.3962499999999998,1.6787499999999997,0.645724194884489,0.9583333333333334,0.9740426428022031
3,24,1.4324999999999999,1.7287499999999998,0.67561480312282,1.0,0.9820137900379085
4,0,0.0,0.0,0.021641673856725684,0.0,0.0066928509242848554
4,1,0.0,0.0,0.04373886357728283,0.02857142857142857,0.008638441349380632
4,2,0.0,0.0,0.06628202572252546,0.05714285714285714,0.011143263869926362
4,3,0.0,0.0,0.08926136455372971,0.08571428571428572,0.014363867104643092
4,4,0.0,0.0,0.1126668320916118,0.11428571428571428,0.018497870401472195
4,5,0.0,0.04375,0.1364881285814125,0.14285714285714285,0.023792942398164606
4,6,0.007499999999999995,0.10625,0.1607147033810407,0.17142857142857143,0.03055655656287596
4,7,0.019999999999999997,0.1775,0.18533575628835647,0.2,0.039165722796764356
4,8,0.0675,0.23374999999999999,0.21034023932262502,0.22857142857142856,0.0500751907317564
4,9,0.0675,0.23374999999999999,0.23571685897397893,0.2571428571428571,0.06382160477065378
4,10,0.08125,0.23374999999999999,0.26145407893339,0.2857142857142857,0.08101976866530781
4,11,0.0875,0.23374999999999999,0.2875401233141722,0.3142857142857143,0.10234571448249133
4,12,0.12625,0.23374999999999999,0.31396298037441833,0.34285714285714286,0.1285001395747747
4,13,0.1675,0.23374999999999999,0.3407104067480159,0.37142857142857144,0.16014590731729164
4,14,0.18,0.2525,0.367769932189998,0.4,0.19781611144141825
4,15,0.23125,0.26749999999999996,0.39512886483997356,0.42857142857142855,0.24179617240740997
4,16,0.26875,0.26749999999999996,0.4227742970052514,0.45714285714285713,0.29199503954145767
4,17,0.3,0.26749999999999996,0.4506931114630383,0.4857142857142857,0.347834532566021
4,18,0.325,0.26749999999999996,0.47887198827876665,0.5142857142857142,0.4081958734996694
4,19,0.325,0.275,0.5072974121351995,0.5428571428571428,0.4714596290177347
4,20,0.36625,0.275,0.5359556801644978,0.5714285714285714,0.5356536708339714
4,21,0.4175000000000001,0.31,0.5648329102729175,0.6,0.5986876601124519
4,22,0.44625000000000004,0.33375,0.5939150499452712,0.6285714285714286,0.6586182791989391
4,23,0.50875,0.33375,0.6231878855137424,0.6571428571428571,0.7138763512784722
4,24,0.5387500000000001,0.33375,0.6526370518731116,0.6857142857142857,0.7634031396496347
4,25,0.5387500000000001,0.33375,0.6822480426219636,0.7142857142857143,0.8066786301976914
4,26,0.545,0.33625,0.7120062206070144,0.7428571428571429,0.8436597149258572
4,27,0.545,0.39,0.7418968288453454,0.7714285714285715,0.8746656949684922
4,28,0.5675000000000001,0.46125,0.7719050017970903,0.8,0.9002495108803148
4,29,0.6450000000000001,0.505,0.8020157769590052,0.8285714285714286,0.9210822275124407
4,30,0.6762500000000001,0.5599999999999999,0.8322141067473806,0.8571428571428571,0.9378643669135703
4,31,0.7012500000000002,0.6087499999999999,0.8624848706369633,0.8857142857142857,0.9512665461461832
4,32,0.7275000000000001,0.6424999999999998,0.8928128875209383,0.9142857142857143,0.96189542658705
4,33,0.7887500000000001,0.7324999999999999,0.9231829282556241,0.9428571428571428,0.9702785528216991
4,34,0.8775000000000002,0.8149999999999998,0.9535797283523457,0.9714285714285714,0.9768617296058304
4,35,0.9650000000000002,0.9124999999999999,0.9839880007780065,1.0,0.9820137900379085
5,0,0.05249999999999999,0.09500000000000001,0.022979338831204243,0.0,0.0066928509242848554
