,,t_min,t_max,dlen,day,station,category,name,state
15,8,0.6449999999999999,0.7762500000000001,0.22125809759164677,0.3333333333333333,34927,10659,P·EP 27,0.22222222222222215
15,9,0.7249999999999999,0.88125,0.2476809546518929,0.375,34927,10659,P·EP 27,0.2916666666666666
15,10,0.80625,0.9949999999999999,0.2744283810254905,0.4166666666666667,34927,10659,P·EP 27,0.361111111111111
15,11,0.8875,1.0775,0.3014879064674726,0.4583333333333333,34927,10659,P·EP 27,0.4305555555555554
15,12,0.97,1.1374999999999997,0.3288468391174481,0.5,34927,10659,P·EP 27,0.49999999999999994
15,13,0.9987499999999999,1.1374999999999997,0.356492271282726,0.5416666666666666,34927,10659,P·EP 27,0.5694444444444444
15,14,0.9999999999999998,1.1374999999999997,0.38441108574051286,0.5833333333333334,34927,10659,P·EP 27,0.6388888888888888
15,15,0.9999999999999998,1.1474999999999997,0.4125899625562412,0.625,34927,10659,P·EP 27,0.7083333333333333
15,16,1.0099999999999998,1.1474999999999997,0.4410153864126741,0.6666666666666666,34927,10659,P·EP 27,0.7777777777777777
15,17,1.0224999999999997,1.19,0.4696736544419724,0.7083333333333334,34927,10659,P·EP 27,0.8472222222222221
15,18,1.0662499999999997,1.27,0.49855088455039204,0.75,34927,10659,P·EP 27,0.9166666666666665
15,19,1.1212499999999999,1.38,0.5276330242227457,0.7916666666666666,34927,10659,P·EP 27,0.9861111111111109
15,20,1.1974999999999998,1.48875,0.556905859791217,0.8333333333333334,34927,10659,P·EP 27,1.0
15,21,1.2949999999999997,1.585,0.5863550261505861,0.875,34927,10659,P·EP 27,1.0
15,22,1.3712499999999999,1.645,0.6159660168994382,0.9166666666666666,34927,10659,P·EP 27,1.0
15,23,1.3962499999999998,1.6787499999999997,0.645724194884489,0.9583333333333334,34927,10659,P·EP 27,1.0
15,24,1.4324999999999999,1.7287499999999998,0.67561480312282,1.0,34927,10659,P·EP 27,1.0
16,0,0.0,0.0,0.021641673856725684,0.0,34927,10660,P·EP 28,0.0
16,1,0.0,0.0,0.04373886357728283,0.02702702702702703,34927,10660,P·EP 28,0.0
16,2,0.0,0.0,0.06628202572252546,0.05405405405405406,34927,10660,P·EP 28,0.0
16,3,0.0,0.0,0.08926136455372971,0.08108108108108109,34927,10660,P·EP 28,0.0
16,4,0.0,0.0,0.1126668320916118,0.10810810810810811,34927,10660,P·EP 28,0.0
16,5,0.0,0.04375,0.1364881285814125,0.13513513513513514,34927,10660,P·EP 28,0.0
16,6,0.007499999999999995,0.10625,0.1607147033810407,0.16216216216216217,34927,10660,P·EP 28,0.0
16,7,0.019999999999999997,0.1775,0.18533575628835647,0.1891891891891892,34927,10660,P·EP 28,0.0
16,8,0.0675,0.23374999999999999,0.21034023932262502,0.21621621621621623,34927,10660,P·EP 28,0.027027027027026973
16,9,0.0675,0.23374999999999999,0.23571685897397893,0.24324324324324326,34927,10660,P·EP 28,0.07207207207207206
16,10,0.08125,0.23374999999999999,0.26145407893339,0.2702702702702703,34927,10660,P·EP 28,0.11711711711711709
16,11,0.0875,0.23374999999999999,0.2875401233141722,0.2972972972972973,34927,10660,P·EP 28,0.16216216216216212
16,12,0.12625,0.23374999999999999,0.31396298037441833,0.32432432432432434,34927,10660,P·EP 28,0.20720720720720714
16,13,0.1675,0.23374999999999999,0.3407104067480159,0.35135135135135137,34927,10660,P·EP 28,0.2522522522522522
16,14,0.18,0.2525,0.367769932189998,0.3783783783783784,34927,10660,P·EP 28,0.2972972972972972
16,15,0.23125,0.26749999999999996,0.39512886483997356,0.40540540540540543,34927,10660,P·EP 28,0.34234234234234223
16,16,0.26875,0.26749999999999996,0.4227742970052514,0.43243243243243246,34927,10660,P·EP 28,0.38738738738738726
16,17,0.3,0.26749999999999996,0.4506931114630383,0.4594594594594595,34927,10660,P·EP 28,0.4324324324324324
16,18,0.325,0.26749999999999996,0.47887198827876665,0.4864864864864865,34927,10660,P·EP 28,0.47747747747747743
16,19,0.325,0.275,0.5072974121351995,0.5135135135135135,34927,10660,P·EP 28,0.5225225225225225
16,20,0.36625,0.275,0.5359556801644978,0.5405405405405406,34927,10660,P·EP 28,0.5675675675675675
16,21,0.4175000000000001,0.31,0.5648329102729175,0.5675675675675675,34927,10660,P·EP 28,0.6126126126126126
16,22,0.44625000000000004,0.33375,0.5939150499452712,0.5945945945945946,34927,10660,P·EP 28,0.6576576576576576
16,23,0.50875,0.33375,0.6231878855137424,0.6216216216216216,34927,10660,P·EP 28,0.7027027027027026
16,24,0.5387500000000001,0.33375,0.6526370518731116,0.6486486486486487,34927,10660,P·EP 28,0.7477477477477477
16,25,0.5387500000000001,0.33375,0.6822480426219636,0.6756756756756757,34927,10660,P·EP 28,0.7927927927927927
16,26,0.545,0.33625,0.7120062206070144,0.7027027027027027,34927,10660,P·EP 28,0.8378378378378377
16,27,0.545,0.39,0.7418968288453454,0.7297297297297297,34927,10660,P·EP 28,0.8828828828828827
16,28,0.5675000000000001,0.46125,0.7719050017970903,0.7567567567567568,34927,10660,P·EP 28,0.9279279279279278
16,29,0.6450000000000001,0.505,0.8020157769590052,0.7837837837837838,34927,10660,P·EP 28,0.9729729729729728
16,30,0.6762500000000001,0.5599999999999999,0.8322141067473806,0.8108108108108109,34927,10660,P·EP 28,1.0
