;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest;Protein;Oil
805;9953;Соер 4;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-24;12.0;45.0;166.5;43.1;13.8
820;9959;Окская;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-21;12.0;42.0;66.6;42.5;15.1
838;9960;Светлая;Пушкин;Россия;2004-05-26;2004-06-07;2004-07-19;12.0;40.0;202.02;42.0;16.5
857;10044;СибНИИСХ 6;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;462.87;46.1;16.0
871;10388;Соер 13-91;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;328.56;45.0;17.0
890;10623;Мадева;Пушкин;Россия;2005-05-12;2005-05-24;2005-07-11;12.0;47.0;206.02;41.2;17.5
907;10658;ПЭП 26;Пушкин;Россия;2005-05-12;2005-05-24;2005-07-11;12.0;47.0;297.48;43.4;15.8
924;10659;ПЭП 27;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-06;13.0;41.0;150.96;39.7;17.7
943;10660;ПЭП 28;Пушкин;Россия;2005-05-12;2005-05-24;2005-07-08;12.0;44.0;330.78;42.8;17.3
962;10677;Степная 90;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;295.26;48.1;15.5
980;10678;СибНИИК 15/83;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-11;13.0;46.0;497.28;46.1;16.3
999;10680;Восход*1191/79;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;333.0;45.8;15.8
1018;5589;Fiskeby 840-2-7;Пушкин;Швеция;2005-05-12;2005-05-25;2005-07-11;13.0;46.0;213.12;42.6;16.9
1036;5826;Fiskeby 840-7-3;Пушкин;Швеция;2005-05-12;2005-05-25;2005-07-11;13.0;46.0;326.34;39.4;16.7
1055;5829;Fiskeby V;Пушкин;Швеция;2005-05-12;2005-05-25;2005-07-11;13.0;46.0;143.41;40.6;16.6
1073;5830;Fiskeby 1040-4-2;Пушкин;Швеция;2005-05-12;2005-05-26;2005-07-11;14.0;45.0;184.26;42.6;17.9
1091;6793;Bravalla;Пушкин;Швеция;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;313.02;44.7;16.3
1109;9587;Белор;Пушкин;Россия;2005-05-12;2005-05-26;2005-07-06;14.0;40.0;279.72;43.9;16.6
1124;9648;Mapl Ridge;Пушкин;Канада;2005-05-12;2005-05-25;2005-07-09;13.0;44.0;266.4;45.3;15.5
1143;9659;Магева;Пушкин;Россия;2005-05-12;2005-05-24;2005-07-08;12.0;44.0;492.84;45.0;15.3
1161;9837;Sito;Пушкин;Германия;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;481.74;42.1;17.2
1178;9922;Major;Пушкин;Франция;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;371.85;42.2;15.5
1197;9951;УСХИ 6;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;91.02;44.7;15.2
1247;9953;Соер 4;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;286.38;45.2;14.8
1265;9959;Окская;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-11;13.0;46.0;483.96;46.1;14.9
1282;9960;Светлая;Пушкин;Россия;2005-05-12;2005-05-25;2005-07-08;13.0;43.0;335.22;44.4;16.6
1300;10043;Алтом;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-09;13.0;33.0;104.34;38.6;16.7
