ID,d,t_min,t_max,dlen,day,station,category,name,state
47,19,0.21750000000000003,0.039999999999999994,1.3349527713807852,0.2835820895522388,26063,10660,P·EP 28,0.1
47,20,0.27375000000000005,0.04249999999999998,1.4013618860068484,0.29850746268656714,26063,10660,P·EP 28,0.1
47,21,0.3275,0.09624999999999999,1.4674865208703742,0.31343283582089554,26063,10660,P·EP 28,0.1
47,22,0.4,0.13874999999999998,1.5332938383908892,0.3283582089552239,26063,10660,P·EP 28,0.1
47,23,0.44749999999999995,0.13874999999999998,1.598751536644534,0.34328358208955223,26063,10660,P·EP 28,0.1
47,24,0.49874999999999997,0.14875,1.6638278928950303,0.3582089552238806,26063,10660,P·EP 28,0.1
47,25,0.56125,0.21125,1.7284918033070515,0.373134328358209,26063,10660,P·EP 28,0.1
47,26,0.6487499999999999,0.2625,1.792712818728288,0.3880597014925373,26063,10660,P·EP 28,0.2
47,27,0.6975,0.3075,1.8564611764776398,0.40298507462686567,26063,10660,P·EP 28,0.30000000000000004
47,28,0.7449999999999999,0.35250000000000004,1.9197078281254414,0.417910447761194,26063,10660,P·EP 28,0.4
47,29,0.825,0.38,1.982424463296546,0.43283582089552236,26063,10660,P·EP 28,0.5
47,30,0.8949999999999999,0.38,2.0445835295678654,0.44776119402985076,26063,10660,P·EP 28,0.6000000000000001
47,31,0.97625,0.41624999999999995,2.1061582485680352,0.4626865671641791,26063,10660,P·EP 28,0.7000000000000001
47,32,1.0587499999999999,0.43999999999999995,2.1671226284180483,0.47761194029850745,26063,10660,P·EP 28,0.8
47,33,1.1424999999999998,0.43999999999999995,2.2274514726777843,0.4925373134328358,26063,10660,P·EP 28,0.9
47,34,1.1962499999999998,0.43999999999999995,2.2871203859844487,0.5074626865671642,26063,10660,P·EP 28,0.9
47,35,1.2662499999999999,0.49624999999999997,2.346105776585128,0.5223880597014925,26063,10660,P·EP 28,0.9
47,36,1.3499999999999999,0.59625,2.4043848559773098,0.5373134328358209,26063,10660,P·EP 28,0.9
47,37,1.4299999999999997,0.7049999999999998,2.4619356358785556,0.5522388059701493,26063,10660,P·EP 28,0.9
47,38,1.5174999999999996,0.8287499999999998,2.518736922750067,0.5671641791044776,26063,10660,P·EP 28,0.9
47,39,1.6224999999999998,0.9349999999999998,2.574768310098979,0.582089552238806,26063,10660,P·EP 28,0.9
47,40,1.7099999999999997,0.9662499999999998,2.630010168781406,0.5970149253731343,26063,10660,P·EP 28,0.9
47,41,1.7899999999999998,1.0449999999999997,2.6844436355229266,0.6119402985074627,26063,10660,P·EP 28,0.9
47,42,1.8962499999999998,1.0799999999999996,2.738050599865823,0.6268656716417911,26063,10660,P·EP 28,0.9
47,43,1.95,1.1299999999999997,2.7908136897433877,0.6417910447761194,26063,10660,P·EP 28,0.9
47,44,1.99375,1.1837499999999996,2.8427162558713346,0.6567164179104478,26063,10660,P·EP 28,0.9
47,45,2.0625,1.2437499999999997,2.8937423551352226,0.6716417910447762,26063,10660,P·EP 28,0.9
47,46,2.1574999999999998,1.2949999999999995,2.94387673314104,0.6865671641791045,26063,10660,P·EP 28,0.9
47,47,2.2474999999999996,1.3512499999999996,2.9931048060840566,0.7014925373134329,26063,10660,P·EP 28,0.9
47,48,2.32875,1.3749999999999996,3.0414126420789156,0.7164179104477612,26063,10660,P·EP 28,0.9
47,49,2.3549999999999995,1.3949999999999996,3.088786942081909,0.7313432835820896,26063,10660,P·EP 28,0.9
47,50,2.4425,1.4449999999999996,3.1352150205246323,0.746268656716418,26063,10660,P·EP 28,0.9
47,51,2.46,1.4449999999999996,3.1806847857668523,0.7611940298507462,26063,10660,P·EP 28,0.9
47,52,2.465,1.4449999999999996,3.22518472046555,0.7761194029850746,26063,10660,P·EP 28,0.9
47,53,2.465,1.4449999999999996,3.268703861946814,0.7910447761194029,26063,10660,P·EP 28,0.9
47,54,2.465,1.4449999999999996,3.3112317826575355,0.8059701492537313,26063,10660,P·EP 28,0.9
47,55,2.465,1.4449999999999996,3.3527585707648284,0.8208955223880597,26063,10660,P·EP 28,0.9
47,56,2.5,1.4449999999999996,3.3932748109626742,0.835820895522388,26063,10660,P·EP 28,0.9
47,57,2.54,1.4449999999999996,3.432771565537558,0.8507462686567164,26063,10660,P·EP 28,0.9
47,58,2.57125,1.4449999999999996,3.4712403557377316,0.8656716417910447,26063,10660,P·EP 28,0.9
47,59,2.60125,1.4449999999999996,3.508673143484289,0.8805970149253731,26063,10660,P·EP 28,0.9
47,60,2.6525,1.4499999999999997,3.545062313456314,0.8955223880597015,26063,10660,P·EP 28,0.9
47,61,2.7125,1.4499999999999997,3.580400655577082,0.9104477611940298,26063,10660,P·EP 28,0.9
47,62,2.7675,1.4499999999999997,3.6146813479234963,0.9253731343283582,26063,10660,P·EP 28,0.9
47,63,2.78875,1.4499999999999997,3.647897940076683,0.9402985074626866,26063,10660,P·EP 28,0.9
47,64,2.8112500000000002,1.4499999999999997,3.6800443369278484,0.9552238805970149,26063,10660,P·EP 28,0.9
47,65,2.83625,1.4499999999999997,3.7111147829501463,0.9701492537313433,26063,10660,P·EP 28,0.9
47,66,2.8725,1.4499999999999997,3.7411038469443247,0.9850746268656716,26063,10660,P·EP 28,0.9
47,67,2.9162500000000002,1.4499999999999997,3.770006407263314,1.0,26063,10660,P·EP 28,0.9
48,0,0.03500000000000001,0.0,0.06398836288395411,0.0,26063,9960,Svetlaya,0.1
48,1,0.05875000000000001,0.0,0.1284345897381932,0.014925373134328358,26063,9960,Svetlaya,0.1
48,2,0.05875000000000001,0.0,0.19330857092320186,0.029850746268656716,26063,9960,Svetlaya,0.1
48,3,0.05875000000000001,0.0,0.25857952572113774,0.04477611940298507,26063,9960,Svetlaya,0.1
48,4,0.05875000000000001,0.0,0.3242160361256788,0.05970149253731343,26063,9960,Svetlaya,0.1
48,5,0.05875000000000001,0.0,0.39018608460070636,0.07462686567164178,26063,9960,Svetlaya,0.1
48,6,0.05875000000000001,0.0,0.4564570957199633,0.08955223880597014,26063,9960,Svetlaya,0.1
48,7,0.05875000000000001,0.0,0.5229959815477034,0.1044776119402985,26063,9960,Svetlaya,0.1
